+-----------------------------------+-------+---------+-----------+
| Material List for schematic 'Mountain - Fixed' (1 of 1 regions) |
+-----------------------------------+-------+---------+-----------+
| Item                              | Total | Missing | Available |
| Dark Oak Shelf                    |     9 |       9 |         0 |
| Grey Stained Glass Pane           |     9 |       9 |         0 |
| Green Stained Glass Pane          |     8 |       8 |         0 |
| Green Terracotta                  |     8 |       8 |         0 |
| Red Mushroom Block                |     8 |       8 |         0 |
| Sandstone Stairs                  |     8 |       8 |         0 |
| Stripped Birch Log                |     8 |       8 |         0 |
| Cyan Glazed Terracotta            |     7 |       7 |         0 |
| Cyan Stained Glass Pane           |     7 |       7 |         0 |
| Dark Oak Fence                    |     7 |       7 |         0 |
| Green Glazed Terracotta           |     7 |       7 |         0 |
| Large Fern                        |     7 |       7 |         0 |
| Mangrove Fence Gate               |     7 |       7 |         0 |
| Conduit                           |     6 |       6 |         0 |
| Cyan Bed                          |     6 |       6 |         0 |
| Dark Oak Stairs                   |     6 |       6 |         0 |
| End Rod                           |     6 |       6 |         0 |
| Glow Lichen                       |     6 |       6 |       128 |
| Grey Carpet                       |     6 |       6 |         0 |
| Grindstone                        |     6 |       6 |         0 |
| Waxed Exposed Copper Bulb         |     6 |       6 |         0 |
| Waxed Exposed Cut Copper          |     6 |       6 |         0 |
| Waxed Exposed Cut Copper Stairs   |     6 |       6 |         0 |
| Andesite Stairs                   |     5 |       5 |         0 |
| Dark Oak Sign                     |     5 |       5 |         0 |
| Firefly Bush                      |     5 |       5 |        26 |
| Spruce Door                       |     5 |       5 |         0 |
| Bamboo Stairs                     |     4 |       4 |         0 |
| Birch Fence Gate                  |     4 |       4 |         0 |
| Dark Oak Hanging Sign             |     4 |       4 |         0 |
| Fern                              |     4 |       4 |        22 |
| Grey Bed                          |     4 |       4 |         0 |
| Heavy Core                        |     4 |       4 |         0 |
| Light Blue Carpet                 |     4 |       4 |         0 |
| Lime Carpet                       |     4 |       4 |         0 |
| Mossy Stone Brick Stairs          |     4 |       4 |         0 |
| Oak Shelf                         |     4 |       4 |         0 |
| Orange Carpet                     |     4 |       4 |         0 |
| Pale Oak Shelf                    |     4 |       4 |         0 |
| Sea Lantern                       |     4 |       4 |         0 |
| Stripped Pale Oak Log             |     4 |       4 |         0 |
| Tuff Bricks                       |     4 |       4 |         0 |
| Waxed Exposed Copper Grate        |     4 |       4 |         0 |
| Dark Oak Door                     |     3 |       3 |         0 |
| Jungle Slab                       |     3 |       3 |         0 |
| Redstone Torch                    |     3 |       3 |        51 |
| Snow Block                        |     3 |       3 |         0 |
| Spruce Hanging Sign               |     3 |       3 |         0 |
| Azalea Leaves                     |     2 |       2 |        53 |
| Birch Trapdoor                    |     2 |       2 |         0 |
| Black Stained Glass Pane          |     2 |       2 |         0 |
| Blast Furnace                     |     2 |       2 |         0 |
| Crimson Shelf                     |     2 |       2 |         0 |
| Crimson Slab                      |     2 |       2 |         0 |
| Decorated Pot                     |     2 |       2 |         0 |
| Green Shulker Box                 |     2 |       2 |         1 |
| Jack O'Lantern                    |     2 |       2 |         0 |
| Loom                              |     2 |       2 |         0 |
| Melon                             |     2 |       2 |         0 |
| Mossy Stone Brick Slab            |     2 |       2 |         0 |
| Mossy Stone Brick Wall            |     2 |       2 |         0 |
| Mossy Stone Bricks                |     2 |       2 |         0 |
| Orange Concrete                   |     2 |       2 |         0 |
| Pumpkin                           |     2 |       2 |         0 |
| Purple Bed                        |     2 |       2 |         0 |
| Smoker                            |     2 |       2 |         0 |
| Waxed Copper Lantern              |     2 |       2 |         0 |
| Waxed Exposed Chiselled Copper    |     2 |       2 |         0 |
| Waxed Exposed Lightning Rod       |     2 |       2 |         0 |
| Azalea                            |     1 |       1 |         0 |
| Black Wool                        |     1 |       1 |         0 |
| Blue Concrete                     |     1 |       1 |         0 |
| Cake                              |     1 |       1 |         0 |
| Cyan Stained Glass                |     1 |       1 |         0 |
| Daylight Detector                 |     1 |       1 |         0 |
| Dried Ghast                       |     1 |       1 |         0 |
| Green Wool                        |     1 |       1 |         0 |
| Hopper                            |     1 |       1 |        23 |
| Ladder                            |     1 |       1 |         0 |
| Light Blue Wool                   |     1 |       1 |         0 |
| Light Grey Carpet                 |     1 |       1 |         0 |
| Light Grey Stained Glass          |     1 |       1 |         0 |
| Mangrove Stairs                   |     1 |       1 |         0 |
| Ochre Froglight                   |     1 |       1 |         0 |
| Orange Wool                       |     1 |       1 |         0 |
| Pink Wool                         |     1 |       1 |         0 |
| Purple Carpet                     |     1 |       1 |         0 |
| Red Wool                          |     1 |       1 |         0 |
| Scaffolding                       |     1 |       1 |        60 |
| Soul Lantern                      |     1 |       1 |         0 |
| Soul Sand                         |     1 |       1 |         0 |
| Torch                             |     1 |       1 |         0 |
| Tuff Brick Wall                   |     1 |       1 |         0 |
| Waxed Oxidized Copper Trapdoor    |     1 |       1 |         0 |
| White Wool                        |     1 |       1 |         0 |
| Yellow Carpet                     |     1 |       1 |         0 |
+-----------------------------------+-------+---------+-----------+
| Item                              | Total | Missing | Available |
+-----------------------------------+-------+---------+-----------+
